,Gene_Name,Series1_NHBE_Mock_1,Series1_NHBE_Mock_2,Series1_NHBE_Mock_3,Series1_NHBE_SARS-CoV-2_1,Series1_NHBE_SARS-CoV-2_2,Series1_NHBE_SARS-CoV-2_3
6,SAMD11,11,20,8,26,10,63
7,NOC2L,1773,1757,2554,1915,1605,5162
8,KLHL17,110,133,131,168,78,242
9,PLEKHN1,170,172,254,186,120,403
10,HES4,26,52,57,30,17,64
11,ISG15,45,52,51,82,45,211
12,AGRN,2887,3576,4140,3682,2053,6988
17,TTLL10,0,0,0,0,0,1
18,TNFRSF18,0,0,1,1,0,3
19,TNFRSF4,0,0,0,1,0,1
20,SDF4,1530,1572,1975,1840,1232,3914
21,B3GALT6,202,167,222,130,146,397
22,UBE2J2,275,273,418,277,230,637
24,ACAP3,305,339,470,357,251,744
25,PUSL1,75,81,131,108,55,172
26,TAS1R3,8,1,4,0,0,1
27,DVL1,544,657,762,738,395,1358
28,MXRA8,18,21,12,27,17,28
29,AURKAIP1,401,397,630,517,358,1139
30,CCNL2,926,1115,1358,1049,866,2555
32,MRPL20,663,541,738,513,491,1799
34,TMEM88B,0,0,0,0,0,1
35,VWA1,217,270,319,359,163,522
36,ATAD3C,11,9,20,12,11,46
37,ATAD3B,154,223,292,287,172,508
38,ATAD3A,170,202,284,274,181,569
40,SSU72,1078,886,1344,827,851,2692
41,MIB2,104,133,156,147,59,237
42,CDK11B,229,227,256,243,210,695
43,SLC35E2B,376,375,497,357,304,889
44,CDK11A,97,82,125,113,98,295
45,NADK,388,334,555,396,319,976
46,GNB1,8479,6953,11155,7486,7295,20663
47,CALML6,4,6,7,10,4,12
49,PRKCZ,638,552,894,579,478,1510
50,SKI,633,633,850,763,529,1669
51,MORN1,23,25,46,39,26,75
53,RER1,1495,1370,2065,1319,1336,3642
54,PEX10,157,144,244,114,94,354
55,PLCH2,948,1118,1290,1204,852,2578
56,PANK4,242,239,329,301,232,664
57,HES5,2,2,2,0,3,2
58,TNFRSF14,80,104,105,75,57,154
59,FAM213B,379,297,519,353,268,953
61,PRDM16,35,25,39,27,19,56
62,ARHGEF16,210,232,281,288,186,538
63,MEGF6,57,76,80,52,43,122
64,TPRG1L,689,629,1158,622,665,2019
65,WRAP73,125,121,165,142,102,275
69,LRRC47,494,450,686,523,432,1346
70,CEP104,594,462,806,488,510,1397
71,DFFB,80,58,116,86,83,223
72,C1orf174,178,169,249,153,178,465
74,NPHP4,109,85,140,124,98,314
