#hg19.knownGene.name	hg19.knownGene.proteinID	hg19.kgXref.kgID	hg19.kgXref.mRNA
uc001acj.4	P05161	uc001acj.4	NM_005101
uc001biq.2	Q8N6P7	uc001biq.2	NM_021258
uc001axb.1	Q6PIV7	uc001axb.1	NM_207348
uc001bpa.3	Q5TEJ8-4	uc001bpa.3	NM_001039477
uc001bpc.4	Q5TEJ8	uc001bpc.4	NM_001105556
uc001bon.1	P09912-3	uc001bon.1	NM_022873
uc001boo.1	P09912	uc001boo.1	NM_002038
uc001bpf.3	Q92485-2	uc001bpf.3	NM_001009568
uc001bop.1	P09912-2	uc001bop.1	NM_022872
uc001bpg.3	Q92485	uc001bpg.3	NM_014474
uc001boz.3	Q5TEJ8-2	uc001boz.3	NM_004848
uc001cks.3	Q5T4W7	uc001cks.3	NM_057091
uc001ckt.3	Q5T4W7-3	uc001ckt.3	NM_001136215
uc001cku.3	Q5T4W7	uc001cku.3	HI544298
uc001ckv.3	Q5T4W7-3	uc001ckv.3	NM_057090
uc001ckw.3	Q5T4W7-2	uc001ckw.3	HI544300
uc001cpw.3	Q8NFW5-2	uc001cpw.3	NM_172225
uc001cpx.3	Q8NFW5	uc001cpx.3	NM_147192
uc001cqw.3	Q13113	uc001cqw.3	NM_005764
uc001dip.4	Q8TCB0	uc001dip.4	NM_006417
uc001dnb.3	Q96PP9	uc001dnb.3	NM_052941
uc001dnc.3	Q96PP8	uc001dnc.3	NM_052942
uc001dnd.3	Q96PP8	uc001dnd.3	NM_001134486
uc001dne.1	Q96PP8	uc001dne.1	AK090479
uc001doa.4	A2PYH4	uc001doa.4	NM_001017975
uc001dmt.3	Q9H0R5	uc001dmt.3	NM_018284
uc001dob.4	B1B0B5	uc001dob.4	BX649037
uc001doc.1	B7ZM16	uc001doc.1	BC144198
uc001dmu.3	Q9H0R5	uc001dmu.3	AK001823
uc001dmv.3		uc001dmv.3	BC063819
uc001dmx.2	P32455	uc001dmx.2	NM_002053
uc001ehb.3	Q7Z7D3	uc001ehb.3	NM_024626
uc001ehc.3	NP_001240778	uc001ehc.3	NR_045603
uc001czq.3	P51589	uc001czq.3	NM_000775
uc001faq.3	Q5T7P3	uc001faq.3	NM_178349
uc001dti.3	P19320	uc001dti.3	NM_001078
uc001dtj.3	P19320-2	uc001dtj.3	NM_080682
uc001fbq.3	P06702	uc001fbq.3	NM_002965
uc001fcz.3	Q5K4L6	uc001fcz.3	NM_024330
uc001ffg.3	P17787	uc001ffg.3	NM_000748
uc001fnc.3	P57735	uc001fnc.3	NM_020387
uc010oeg.1	B4E2V9	uc010oeg.1	AK304454
uc010oeh.2	Q8N6P7	uc010oeh.2	AK226001
uc010ofn.2	Q5TEJ8-6	uc010ofn.2	AK303141
uc010ofo.2	Q5TEJ8-5	uc010ofo.2	AK303090
