ID	hapR	vpsR	vpsT	vpsR,vpsT	vpsR,hapR	vpsT,hapR	vpsR,vpsT,hapR
VC0001	1.033188005	0.292902783	0.211399277	0.647276887	0.490236025	0.354577897	0.566806508
VC0002	0.074920763	0.040262474	0.231629707	0.431783417	0.222367192	0.105708983	0.310853045
VC0003	-0.047396462	0.384565958	0.283699071	0.405903061	0.495618991	-0.082271313	0.910028436
VC0004	-0.145574286	-0.298089879	-0.355218201	-0.149163961	0.100951689	-0.154088775	-0.203638297
VC0005	-0.240756699	0.620925077	0.493423164	0.47814927	0.262432009	0.261712104	0.492559033
VC0006	-0.045473494	0.482902466	0.597873523	0.37363138	0.609937101	0.606390242	0.295987915
VC0007	-0.033821991	0.340934817	0.648345199	0.564664221	-0.00368118	0.119624509	0.853446723
VC0008	0.040115215	0.031965948	0.048128343	-0.034503893	1.238527573	0.076060994	0.910499052
VC0009	-0.179559068	0.240113128	-0.09870745	-0.012783977	1.361685797	-0.080127873	1.742275833
VC0010	0.245221923	-0.425544483	-0.231443669	-0.536854877	1.864005029	0.530562097	2.450646625
VC0011	-0.069133522	-0.022731981	0.079731548	-0.071672762	0.127871513	0.134505648	0.650515038
VC0012	-0.108358975	-0.112126377	-0.286498778	-0.287561953	0.095542385	-0.051354806	-0.364027917
VC0013	0.160784566	-0.018441765	0.018969667	0.045052391	0.097711262	0.066868107	0.312009718
VC0014	0.064527796	-0.133738473	-0.029190434	-0.143706986	-0.145706197	0.005306198	-0.071748292
VC0015	0.128289956	-0.498457967	-0.422474538	-0.395452882	-0.075685238	-0.006588571	-0.211785188
VC0016	0.067143269	0.293716044	0.460499334	0.268254326	0.330543028	0.23502462	0.676687725
VC0017	-0.053908557	0.185283832	0.205720686	0.128078029	0.040691547	0.243874852	0.074248711
VC0018	0.678277963	0.773691501	1.10120784	0.337565331	1.381996652	0.443982289	0.409453811
VC0019	-0.022460659	0.145857774	0.122764657	-0.036719336	0.11189946	-0.085626282	-0.032524068
VC0020	-0.132572677	-0.015504268	-0.031716826	-0.044395638	0.133773435	0.053685488	0.490760017
VC0021	-0.121036488	0.207488961	0.228919301	0.138191003	0.305449188	-0.164347561	0.305176584
VC0022	0.067526675	0.15205018	0.205752625	0.046193436	-0.062008373	0.238545173	-0.099064001
VC0023	0.216794718	0.388856277	-0.132236097	0.20570038	-0.370121959	0.216802759	0.292189101
VC0024	-0.395557318	0.358915896	0.673529997	0.506348721	0.141971885	0.69529948	0.883981352
VC0025	1.498482224	0.314989595	0.338798711	0.439887284	0.688235898	-0.033608282	0.240684249
VC0026	-0.02632225	-0.175794737	-0.41890486	-0.400095888	-0.423735132	-0.11934637	-0.372255267
VC0027	0.056129456	0.028025144	0.214241772	0.09590628	-0.301786067	0.205810859	0.046830855
VC0028	-0.145700604	0.272638429	0.31303728	0.144966894	0.141143045	0.098425958	0.170424046
VC0029	-0.059122329	-0.072490164	0.08741444	0.231616894	-0.241057626	-0.145125402	0.095795327
VC0030	-0.248200808	0.019247393	0.118504459	0.117923043	-0.509088135	-0.173993425	0.180518922
VC0031	0.087349982	0.196688708	0.368482617	0.212522987	-0.043972841	-0.083850472	0.134892525
VC0032	1.215048884	-0.209419792	-0.026326283	-0.246665257	-0.139091824	0.018198428	0.410415096
VC0033	0.09510821	-0.001732069	0.505425126	0.157438082	-0.119623068	0.294793298	0.239602925
VC0034	0.061126343	-0.520210759	-0.43544869	-0.550803609	-0.414622487	-0.105770633	-0.283900103
VC0035	-0.053601483	0.013973643	-0.102591144	0.123566657	0.30948753	-0.273138365	0.057531961
VC0036	0.083305714	0.407793761	0.33773791	0.381113598	0.450299934	0.123472423	-0.308465371
VC0037	0.315308939	0.016722189	-0.084166202	0.11140829	-0.522928347	-0.240330197	0.398294455
VC0038	0.031580544	-0.535144967	-0.514285117	-0.32847596	-0.587983787	0.091467741	1.133995484
VC0039	0.157284421	-0.632941644	-0.547337359	-0.882703215	-1.058467297	0.117248421	-0.720906868
VC0040	-0.303865752	0.595805343	0.377109426	0.131626519	-0.079127923	0.753402897	-0.078426098
VC0041	-0.179698826	-0.326197623	-0.052483483	-0.152018597	-0.199156507	0.048092998	-0.082413459
VC0042	-0.018097998	0.115456643	0.193776758	0.047046192	0.097505892	0.080035687	-0.021255583
VC0043	0.109823727	0.026158655	0.187945378	-0.055797853	-0.084746636	0.128423611	-0.045407988
VC0044	-0.114728098	0.182492107	0.23627803	0.114057084	0.211934984	0.096750656	0.304932507
